CODI_I;CODI_S;LONGITUD;LAT;LNG;
"1";"1";"373";"42.2227175344";"3.09273496732";
"1";"3";"184";"42.2204017221";"3.09411476669";
"1";"4";"437";"42.2176426236";"3.09611155982";
"1";"5";"390";"42.2148979804";"3.09946307748";
"1";"6";"183";"42.2133471015";"3.10078382208";
"1";"7";"139";"42.2129382528";"3.09908979196";
"1";"8";"264";"42.2130992979";"3.09643482948";
"1";"9";"416";"42.2156121665";"3.09453547501";
"1";"10";"260";"42.2162150493";"3.09098614018";
"1";"11";"358";"42.218146217";"3.09244950169";
"1";"12";"354";"42.2202735136";"3.09228444222";
"1";"13";"356";"42.222483366";"3.08938028403";
"1";"14";"120";"42.224373017";"3.08800298859";
"1";"15";"236";"42.2264541718";"3.08807922319";
"1";"16";"132";"42.2244387333";"3.09037000649";
"1";"17";"94";"42.2243981303";"3.09183785597";
"2";"1";"349";"42.2616677617";"3.12385296797";
"2";"2";"469";"42.2586738038";"3.12330403068";
"2";"3";"153";"42.2596171493";"3.12176230807";
"2";"4";"380";"42.2587250257";"3.1253135086";
"2";"5";"361";"42.2556679505";"3.12565991733";
"2";"6";"193";"42.2547229049";"3.12820115663";
"2";"7";"919";"42.2589215597";"3.12730139151";
"2";"8";"341";"42.2562563633";"3.1307437801";
"2";"9";"332";"42.2563170743";"3.1266547687";
"2";"10";"376";"42.259461547";"3.12503452266";
"2";"11";"382";"42.2612412789";"3.12813663418";
"2";"12";"335";"42.2609484435";"3.12425886151";
"3";"1";"133";"42.2817270266";"3.11694173149";
"3";"2";"238";"42.2831234905";"3.11593734944";
"3";"3";"205";"42.28435098";"3.11417138232";
"3";"4";"294";"42.2856304776";"3.11196347609";
"3";"5";"592";"42.2868221421";"3.10773991193";
"3";"6";"319";"42.2893082796";"3.10365578075";
"3";"7";"157";"42.2897137848";"3.10201916363";
"3";"8";"379";"42.2909452749";"3.09995470566";
"3";"9";"76";"42.2915692405";"3.09750068206";
"3";"10";"279";"42.2902498388";"3.09769900321";
"3";"11";"350";"42.2875687691";"3.09895358054";
"3";"12";"169";"42.2861220409";"3.10078000234";
"3";"13";"582";"42.2840316638";"3.10267700255";
"3";"14";"382";"42.2825764163";"3.10547655132";
"3";"15";"355";"42.2818136764";"3.10957591217";
"3";"16";"245";"42.2799132996";"3.11216782011";
"3";"18";"153";"42.2902888579";"3.10229843235";
"4";"1";"871";"41.3156009075";"2.11215820875";
"4";"2";"693";"41.3101518544";"2.11826821514";
"4";"3";"321";"41.3068623862";"2.11958467902";
"4";"4";"149";"41.3066984833";"2.12098847062";
"4";"5";"635";"41.3049182403";"2.12417199317";
"4";"6";"184";"41.3021131597";"2.12733503252";
"4";"7";"359";"41.3012489695";"2.12576390515";
"4";"8";"204";"41.3009950962";"2.12349265818";
"4";"9";"205";"41.299687319";"2.12213479695";
"4";"10";"651";"41.3019501692";"2.1187779375";
"5";"1";"92";"42.3687395197";"2.82843831366";
"5";"2";"133";"42.368816988";"2.82739341737";
"5";"3";"97";"42.3696536221";"2.82755469221";
"5";"4";"128";"42.3695299828";"2.82656220106";
"5";"5";"116";"42.3700370716";"2.82562862885";
"5";"6";"130";"42.3706964373";"2.82475859652";
"5";"7";"174";"42.3715851275";"2.82410529679";
"5";"8";"250";"42.3726838771";"2.8220913126";
"5";"9";"119";"42.3730702023";"2.82137942171";
"5";"10";"89";"42.3710163398";"2.82537920824";
"5";"11";"138";"42.3705264092";"2.82653970788";
"5";"12";"229";"42.3701539258";"2.82853935907";
"6";"1";"274";"41.9130481792";"3.08516030354";
"6";"2";"129";"41.9142675009";"3.08344058478";
"6";"3";"330";"41.9146541135";"3.08051680297";
"6";"4";"92";"41.9150576927";"3.0781768355";
"6";"5";"169";"41.9147971501";"3.07659251413";
"6";"6";"149";"41.914329907";"3.07526714246";
"6";"7";"189";"41.9148984331";"3.07373951588";
"6";"8";"115";"41.9141290997";"3.07504939054";
"6";"9";"160";"41.9134634998";"3.07588415429";
"6";"10";"50";"41.9139842117";"3.07598856886";
"6";"11";"562";"41.9124285776";"3.0785387676";
"6";"12";"176";"41.9128057135";"3.08171338699";
"6";"13";"398";"41.9124495524";"3.08408809568";
"6";"14";"70";"41.9118431539";"3.08600944697";
"8";"1";"161";"41.4103106261";"2.06285774099";
"8";"2";"266";"41.4087665483";"2.06275743274";
"8";"3";"199";"41.4079432121";"2.06274934436";
"8";"5";"43";"41.4097329249";"2.0641862159";
"8";"6";"88";"41.4102829227";"2.06400782801";
"8";"7";"105";"41.410509009";"2.06437450957";
"8";"8";"126";"41.4108561538";"2.06407692756";
"8";"9";"325";"41.411745873";"2.0617250336";
"8";"10";"63";"41.4130986209";"2.06114565099";
"8";"11";"213";"41.4143370157";"2.06117544549";
"8";"12";"783";"41.4138642192";"2.05951934227";
"8";"98";"68";"41.4085953778";"2.06319094568";
"8";"99";"64";"41.4086189236";"2.06334887704";
"10";"1";"76";"41.6885072501";"2.3854300434";
"10";"2";"62";"41.6881507423";"2.38539172338";
"10";"3";"139";"41.6881711836";"2.38451352657";
"10";"4";"135";"41.6889989332";"2.38357167293";
"10";"5";"162";"41.6902815922";"2.38399720291";
"10";"6";"202";"41.6918768744";"2.38399167876";
"10";"7";"501";"41.6917726904";"2.38497608123";
"10";"8";"185";"41.6888600647";"2.38606602166";
"10";"9";"202";"41.6892183275";"2.3867707567";
"11";"1";"89";"41.7417876935";"2.39214208808";
"11";"2";"72";"41.7418821447";"2.39303045433";
"11";"3";"193";"41.7407943129";"2.39236707006";
"11";"4";"260";"41.7395859094";"2.39281004474";
"11";"5";"352";"41.7377414891";"2.3940059099";
"11";"6";"282";"41.7384421725";"2.39246566852";
"11";"7";"330";"41.7392315107";"2.3912439585";
"11";"8";"210";"41.7406069329";"2.39053764203";
"11";"9";"111";"41.7415873653";"2.39026577754";
"11";"10";"184";"41.7359535922";"2.3904576576";
"12";"1";"239";"41.8022668126";"2.42565292919";
"12";"2";"210";"41.8010236551";"2.42518234232";
"12";"3";"91";"41.8010727241";"2.42639796641";
"12";"4";"171";"41.8009720619";"2.42787621232";
"12";"5";"114";"41.8007067559";"2.42631187478";
"12";"6";"299";"41.7997611374";"2.42618181087";
"12";"7";"78";"41.799119477";"2.42486852827";
"12";"8";"137";"41.7994946009";"2.4240619771";
"12";"9";"179";"41.7991116034";"2.42282729113";
"12";"10";"139";"41.7980264988";"2.4220166126";
"12";"12";"64";"41.7983691588";"2.42291838687";
"12";"13";"191";"41.798544877";"2.42364272709";
"13";"1";"220";"41.6890097346";"2.52955492929";
"13";"2";"456";"41.6873347719";"2.53088900611";
"13";"3";"190";"41.6866640096";"2.53374432117";
"13";"4";"198";"41.6855009394";"2.53482260876";
"13";"5";"286";"41.684511195";"2.53473114975";
"13";"6";"102";"41.6823767975";"2.53497349704";
