CODI	NOM	LAT	LNG	RCLIM
1	El Cortalet	42.2192242822	3.09380024243	3
2	La Rubina	42.2587127399	3.12531679124	3
3	Vilaüt	42.2867071026	3.10792484756	3
4	Cal Tet	41.309493521	2.11900924806	3
5	Darnius	42.3711260699	2.82486820572	2
6	Fitor	41.9122466571	3.08015514917	2
7	El Remolar	41.2821603719	2.06017096149	3
8	Can Ferriol	41.4114888411	2.06169859645	2
9	Can Jordà	42.1427874107	2.50743211082	2
10	Can Liro	41.6905434079	2.38515204874	2
11	Santa Susanna	41.7386187272	2.39210518171	2
12	El Puig	41.8007189212	2.42531376329	1
13	Can Riera	41.6851490536	2.53376377123	2
14	La Marquesa	40.7794674595	0.717803252566	3
15	Font Llebrera	42.337629034	1.85898160996	1
16	Olvan	42.0586824207	1.91573028061	2
17	La Barroca	42.0493479472	2.6279109715	2
18	Timoneda d´Alfés	41.5486645567	0.649087510673	2
19	Can Prat	41.7569925218	2.49684187734	2
20	Turó de l´Home	41.7810487887	2.43403931749	1
21	Turó d´en Fumet	41.4375689651	2.08608506513	2
22	Closes de l´Ullal	42.2881611373	3.08850195239	3
23	Closes del Tec	42.2735356291	3.11532555192	3
24	Coll d'Estenalles	41.6656378614	1.98821399767	2
25	El Mascar	40.8094006208	0.327270206193	1
26	Vallgrassa	41.2873731554	1.87699112295	2
27	Bosc de Valldemaria	41.7331626355	2.75046069721	2
28	Pla de la Calma	41.7777058158	2.32806521539	1
29	Marata	41.6582414796	2.32978387788	2
30	L'Arbeca	41.546811775	0.979888628213	2
31	Turó de Can Tiril	41.6144649681	2.62061915158	2
32	Can Vinyals	41.6754363781	2.71043806806	2
33	Ca l'Arenes	41.6189245823	2.46208330114	2
34	Can Miravitges	41.4763885469	2.24164735125	2
35	Martorell	41.4873419492	1.89333733295	3
36	Olesa de Bonesvalls	41.3276914958	1.84420686328	2
37	Vilanova i la Geltrú	41.2216454089	1.74834977425	3
38	Punta de la Móra	41.130886033	1.33313121649	3
39	Prades	41.3295510633	1.01327906875	1
40	Sallent	41.8351318774	1.92511778463	2
41	Mas de Melons	41.4916309167	0.732679642422	2
42	Gironella	42.0168616593	1.88700769137	2
43	Torà	41.7925643564	1.40911625226	2
44	Tivissa	41.035986043	0.727451906708	2
45	Olivella	41.2846653228	1.83592142291	2
46	Torredembarra	41.1502691036	1.42461400888	3
47	Granja d'Escarp	41.4035074127	0.384686304506	2
48	Sebes	41.2389482914	0.523138857821	3
49	Sant Boi	41.3542506691	2.01308576685	3
50	Talaia del Montmell	41.3405863558	1.46613800788	2
51	El Pinetell	41.31422192	1.12212444354	2
52	Desembocadura del Gaià	41.1356278769	1.36430750992	3
53	Vallforners	41.7360063052	2.33182846943	2
54	Rabós	42.3904089858	3.02214489558	2
55	Campllong	42.1106911227	1.77782182991	1
56	Grèixer	42.2861853048	1.84549245041	1
57	Seu d'Urgell	42.3650994504	1.45907961734	1
58	Cal Puntarrí	41.3531420943	1.52678278304	2
59	Mig-de-dos-Rius	42.1939352539	3.09737277419	3
60	Barranc d'Algendar	39.9763107517	3.96621892633	3
61	S'Albufera des Grau	39.9498653975	4.26188868091	3
62	Can Jordà (bis)	42.1430112601	2.50963495219	2
63	Sant Jaume de Llierca	42.2060791168	2.60278771274	2
64	Montjoi	42.2556480855	3.22209641319	2
65	Santiga	41.5405383996	2.149099417	3
66	Mont-rebei	42.0936043562	0.695521036232	2
67	La Tancada	40.6496800976	0.76055058629	3
68	La Conreria	41.488223551	2.24930297031	2
69	Sant Mateu	41.5101797729	2.32879643981	2
70	Sales de Llierca	42.2429558949	2.65868267678	2
71	Godomar	42.1748086901	2.53583233825	2
72	La Nou de Berguedà	42.1795065179	1.88770068914	1
73	Aiguabarreig	41.4044170817	0.338296739514	3
74	Sal Rossa	38.8744314	1.4003785512	3
75	Can Vilar	41.5820679416	2.11016634832	2
76	Campus UAB	41.5068958147	2.09687491525	3
77	Sant Daniel	41.9969552925	2.84694418619	2
78	Sant Ramon	41.3377993279	2.01379536221	2
79	Oristrell	41.7085274891	1.9058398481	2
80	Vall d'Horta	41.6777974872	2.02957806434	2
81	Alinyà	42.162672563	1.40792565781	1
